Word,count,
"couldn't",2239,
"100",2238,
"help",2226,
"red",2215,
"cold",2209,
"likes",2194,
"super",2193,
"month",2190,
"ordering",2181,
"soda",2180,
"weight",2156,
"lemon",2155,
"soup",2155,
"drinks",2154,
"brown",2151,
"side",2145,
"dried",2139,
"longer",2123,
"keurig",2110,
"9",2104,
"mixed",2104,
"pepper",2098,
"ice",2097,
"second",2083,
"alternative",2083,
"gift",2058,
"week",2048,
"market",2046,
"wouldn't",2023,
"type",2011,
"glad",1998,
"cocoa",1952,
"canned",1947,
"wheat",1933,
"version",1932,
"chew",1913,
"opened",1911,
"blue",1908,
"hair",1905,
"smaller",1885,
"orange",1882,
"chip",1858,
"fiber",1854,
"soy",1851,
"problems",1846,
"difference",1845,
"choice",1845,
"artificial",1845,
"friends",1840,
"easily",1834,
"french",1834,
"expected",1824,
"enjoyed",1823,
"left",1815,
"20",1814,
"cooking",1808,
"pet",1808,
"container",1799,
"oatmeal",1794,
"wrong",1781,
"surprised",1780,
"reason",1777,
"son",1775,
"snacks",1771,
"machine",1766,
"cut",1756,
"ingredient",1751,
"color",1751,
"sodium",1749,
"exactly",1748,
"starbucks",1747,
"cook",1745,
"brew",1745,
"service",1742,
"life",1739,
"clean",1734,
"online",1733,
"recipe",1731,
"hand",1728,
"picky",1721,
"fantastic",1718,
"15",1718,
"guess",1717,
"aftertaste",1714,
"cinnamon",1712,
"simply",1708,
"plain",1703,
"spice",1690,
"feed",1689,
"bowl",1686,
"50",1686,
"care",1680,
"list",1669,
"cherry",1665,
"course",1661,
"special",1654,
"place",1652,
"pleased",1650,
"aroma",1637,
"ate",1637,
"star",1632,
"finally",1631,
"idea",1625,
"mild",1625,
"original",1625,
"experience",1623,
"flavorful",1619,
"bite",1619,
"decaf",1616,
"granola",1603,
"smells",1602,
"start",1601,
"caffeine",1600,
"stomach",1597,
"crackers",1591,
"there's",1590,
"pop",1582,
"daily",1579,
"iced",1578,
"espresso",1570,
"chai",1570,
"single",1567,
"weeks",1561,
"compared",1558,
"apple",1553,
"ground",1550,
"stick",1545,
"fish",1542,
"pound",1540,
"daughter",1537,
"close",1536,
"calorie",1533,
"formula",1520,
"dinner",1519,
"vet",1519,
"yum",1518,
"looked",1516,
"wife",1514,
"convenient",1511,
"11",1511,
"change",1504,
"raw",1498,
"night",1493,
"huge",1492,
"packet",1488,
"toy",1481,
"grain",1479,
"aren't",1479,
"seeds",1478,
"packaged",1477,
"heat",1475,
"needed",1474,
"cake",1474,
"inside",1473,
"based",1473,
"leaves",1458,
"hope",1453,
"larger",1446,
"bottom",1443,
"24",1439,
"instant",1437,
"live",1436,
"packs",1431,
"switch",1425,
"subscribe",1415,
"filling",1414,
"delivery",1408,
"healthier",1408,
"adding",1407,
"acid",1401,
"lots",1399,
"16",1395,
"olive",1395,
"pay",1392,
"eaten",1386,
"medium",1384,
"flour",1384,
"coffees",1384,
"microwave",1383,
"helps",1383,
"mind",1380,
"completely",1380,
"vinegar",1380,
"30",1372,
"expect",1371,
"crunch",1369,
"body",1367,
"refreshing",1358,
"sweetness",1357,
"cheap",1357,
"hours",1357,
"grams",1353,
"weak",1347,
"bulk",1346,
"extremely",1342,
"bottles",1335,
"leave",1334,
"content",1327,
"noticed",1324,
"mine",1324,
"label",1322,
"rest",1321,
"true",1319,
"friend",1315,
"nut",1313,
"excited",1310,
"pure",1307,
"gum",1303,
"takes",1298,
"chewy",1297,
"vitamin",1291,
"puppy",1282,
"thick",1281,
"jar",1271,
"wow",1269,
"decent",1268,
"pork",1268,
"packages",1267,
"feeding",1264,
"note",1263,
"seasoning",1259,
"normal",1257,
"pot",1255,
"opinion",1254,
"creamy",1250,
"waste",1246,
"kettle",1241,
"point",1240,
"newman's",1234,
"shipped",1228,
"chili",1226,
